자치구기준일,중구,용산구,동대문구,강북구,은평구,서대문구,마포구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구
2021.10.07.00,1864,2840,3843,2839,4517,2853,3935,2250,4728,4299,5633,4418,7204,6696
2021.10.06.00,1839,2825,3789,2805,4478,2832,3911,2230,4685,4277,5608,4394,7182,6644
2021.10.05.00,1824,2814,3761,2776,4449,2814,3889,2214,4654,4255,5580,4380,7146,6606
2021.10.04.00,1813,2805,3737,2753,4425,2803,3869,2196,4640,4233,5568,4365,7116,6581
2021.10.03.00,1794,2789,3705,2736,4397,2786,3845,2181,4611,4219,5550,4347,7085,6549
2021.10.02.00,1776,2770,3660,2711,4370,2765,3810,2159,4575,4197,5532,4333,7060,6513
2021.10.01.00,1758,2748,3602,2689,4341,2746,3778,2130,4535,4176,5492,4311,7028,6478
2021.09.30.00,1736,2733,3540,2656,4308,2718,3753,2102,4497,4149,5457,4294,6976,6419
2021.09.29.00,1709,2705,3487,2607,4284,2692,3727,2064,4462,4120,5418,4284,6926,6356
2021.09.28.00,1672,2681,3421,2582,4237,2662,3680,2033,4419,4092,5370,4265,6881,6288
2021.09.27.00,1649,2653,3365,2563,4221,2644,3663,2017,4378,4068,5347,4249,6831,6230
2021.09.26.00,1622,2640,3336,2535,4182,2617,3641,1998,4338,4040,5310,4229,6788,6176
2021.09.25.00,1598,2608,3279,2493,4151,2590,3611,1959,4303,4019,5273,4194,6751,6088
2021.09.24.00,1563,2583,3212,2468,4114,2555,3569,1926,4250,3983,5207,4167,6687,5977
2021.09.23.00,1540,2571,3174,2440,4087,2538,3537,1913,4203,3943,5175,4144,6638,5876
2021.09.22.00,1506,2562,3150,2417,4071,2527,3514,1899,4165,3924,5141,4124,6600,5823
2021.09.21.00,1497,2553,3127,2398,4041,2511,3490,1874,4133,3906,5109,4110,6577,5764
2021.09.20.00,1467,2537,3096,2364,4020,2498,3459,1855,4109,3888,5081,4094,6544,5719
